Symbol: Cu
Atomic Number: 29
Atomic Mass: 63.546000
Start Spectral Index: 29
22 0.010463
24 0.010578
24 0.010588
25 0.010766
11 0.010800
11 0.010848
23 0.010856
11 0.010888
23 0.011107
26 0.011119
19 0.011129
19 0.011138
26 0.011312
22 0.011497
25 0.011751
26 0.011900
24 0.011957
24 0.012042
26 0.012058
26 0.012249
26 0.012749
10 0.013222
10 0.013248
10 0.013303
11 0.013491
11 0.013499
11 0.013529
11 0.013565
11 0.013574
11 0.013602
11 0.013638
10 0.013704
13 0.013807
12 0.013917
10 0.013977
10 0.013987
10 0.014007
14 0.014059
13 0.014296
13 0.014375
13 0.014472
26 0.014570
11 0.014774
14 0.014832
14 0.014832
11 0.014948
11 0.015038
13 0.015064
14 0.015084
14 0.015192
26 0.015229
14 0.015246
27 0.015351
10 0.015371
10 0.015377
14 0.015409
16 0.015427
10 0.015436
10 0.015459
15 0.015471
15 0.015513
28 0.015559
15 0.015790
26 0.015870
15 0.015894
15 0.015968
14 0.015999
15 0.016014
15 0.016138
15 0.016185
15 0.016327
20 0.016360
16 0.016423
18 0.016535
16 0.016550
16 0.016602
16 0.016689
16 0.016803
16 0.016829
16 0.016888
11 0.017188
26 0.017322
16 0.017392
17 0.017416
16 0.017451
12 0.017474
18 0.017578
17 0.017700
16 0.017893
11 0.018000
17 0.018072
17 0.018070
17 0.018348
11 0.018431
16 0.018461
17 0.018488
18 0.018560
17 0.018819
18 0.018822
18 0.018898
18 0.019019
18 0.019069
18 0.019097
18 0.019108
18 0.019172
16 0.019245
18 0.019295
16 0.019576
18 0.019639
18 0.019765
18 0.019823
18 0.019853
18 0.019872
17 0.020040
18 0.020209
18 0.020264
18 0.020296
16 0.020316
17 0.020389
18 0.020409
18 0.020411
28 0.020670
19 0.020732
17 0.020833
16 0.020918
16 0.021039
19 0.021070
18 0.021255
20 0.021272
18 0.021292
18 0.021309
20 0.021530
17 0.021871
18 0.021941
19 0.022138
17 0.022319
18 0.022317
17 0.022383
20 0.022381
19 0.022423
27 0.022479
17 0.022484
26 0.022780
20 0.022788
18 0.022813
17 0.023069
20 0.023287
18 0.023420
18 0.023462
20 0.023759
20 0.023759
15 0.023805
20 0.023876
17 0.023948
18 0.024003
20 0.024113
21 0.024215
21 0.024570
18 0.024699
20 0.024700
18 0.024947
14 0.025041
21 0.025048
16 0.025195
21 0.025287
18 0.025298
18 0.025620
18 0.025661
18 0.025747
21 0.025775
20 0.025824
5 0.025895
21 0.025980
16 0.025988
18 0.025985
16 0.026127
18 0.026181
18 0.026209
21 0.026206
21 0.026394
18 0.026515
20 0.026571
18 0.026626
17 0.026865
18 0.027032
5 0.027133
18 0.027211
18 0.027231
20 0.027230
19 0.027335
18 0.027401
18 0.027479
18 0.027582
16 0.027682
20 0.027940
21 0.027920
14 0.028202
28 0.028320
5 0.028397
20 0.028470
20 0.028710
20 0.028892
17 0.029024
16 0.029171
5 0.029341
21 0.029329
20 0.029608
15 0.029680
16 0.029818
5 0.029964
18 0.030041
14 0.030240
18 0.030240
21 0.030278
19 0.030355
21 0.030572
5 0.030583
20 0.031151
5 0.031251
18 0.031756
20 0.031737
5 0.032105
21 0.032599
5 0.032657
20 0.032869
20 0.033042
21 0.033201
5 0.033356
18 0.033400
5 0.033988
20 0.034079
17 0.034270
18 0.034554
5 0.034600
21 0.034612
