Symbol: Mg
Atomic Number: 12
Atomic Mass: 24.305000
Start Spectral Index: 12
8 0.007268
8 0.007270
8 0.007269
7 0.007279
7 0.007285
7 0.007285
7 0.007289
7 0.007289
7 0.007290
8 0.007325
8 0.007325
8 0.007325
8 0.007356
9 0.007356
8 0.007356
9 0.007356
11 0.007359
8 0.007368
8 0.007368
8 0.007380
8 0.007383
8 0.007386
8 0.007389
8 0.007393
8 0.007398
8 0.007402
8 0.007416
8 0.007416
9 0.007426
8 0.007427
8 0.007432
6 0.007432
9 0.007432
8 0.007434
8 0.007437
9 0.007437
9 0.007441
8 0.007441
8 0.007443
9 0.007446
11 0.007447
9 0.007452
9 0.007452
6 0.007457
6 0.007457
6 0.007457
9 0.007474
8 0.007486
8 0.007498
8 0.007499
8 0.007499
8 0.007503
8 0.007504
6 0.007525
6 0.007525
6 0.007525
6 0.007525
11 0.007531
6 0.007533
6 0.007533
6 0.007533
6 0.007583
6 0.007589
9 0.007595
7 0.007597
8 0.007620
8 0.007620
11 0.007623
7 0.007639
9 0.007641
9 0.007647
9 0.007656
8 0.007671
8 0.007674
8 0.007679
8 0.007690
6 0.007690
6 0.007691
6 0.007691
8 0.007702
8 0.007703
7 0.007703
7 0.007714
8 0.007740
8 0.007740
6 0.007740
6 0.007751
6 0.007751
8 0.007752
8 0.007752
8 0.007755
8 0.007756
8 0.007757
8 0.007758
8 0.007758
6 0.007763
8 0.007765
8 0.007767
8 0.007769
8 0.007774
9 0.007774
11 0.007787
8 0.007801
8 0.007808
8 0.007808
6 0.007824
6 0.007824
6 0.007824
6 0.007824
7 0.007836
7 0.007841
7 0.007841
8 0.007845
7 0.007852
7 0.007852
8 0.007857
8 0.007857
11 0.007885
8 0.007885
8 0.007886
7 0.007913
7 0.007917
7 0.007925
9 0.007932
8 0.007970
8 0.007970
8 0.007970
6 0.007982
6 0.007983
6 0.007986
6 0.008003
6 0.008003
6 0.008003
6 0.008003
6 0.008008
8 0.008023
8 0.008023
8 0.008025
8 0.008025
9 0.008043
6 0.008057
6 0.008072
6 0.008073
6 0.008073
8 0.008081
8 0.008081
8 0.008089
6 0.008093
6 0.008093
6 0.008093
6 0.008093
7 0.008095
7 0.008102
6 0.008111
6 0.008111
6 0.008111
7 0.008114
9 0.008119
9 0.008128
9 0.008128
9 0.008128
8 0.008129
8 0.008130
8 0.008137
8 0.008138
9 0.008142
9 0.008142
8 0.008143
8 0.008143
8 0.008143
8 0.008143
9 0.008145
9 0.008154
9 0.008168
8 0.008173
8 0.008179
8 0.008184
8 0.008187
8 0.008187
11 0.008191
8 0.008194
8 0.008198
8 0.008224
8 0.008232
7 0.008245
6 0.008247
6 0.008248
7 0.008253
9 0.008253
8 0.008260
6 0.008263
6 0.008263
6 0.008264
6 0.008264
7 0.008265
8 0.008271
7 0.008272
8 0.008282
6 0.008284
6 0.008285
6 0.008285
7 0.008294
7 0.008297
11 0.008300
7 0.008302
6 0.008312
6 0.008313
6 0.008340
6 0.008352
7 0.008351
6 0.008352
6 0.008356
7 0.008356
7 0.008359
7 0.008364
8 0.008364
7 0.008372
8 0.008373
7 0.008376
8 0.008379
9 0.008386
9 0.008386
8 0.008387
7 0.008391
7 0.008396
7 0.008399
7 0.008403
7 0.008405
7 0.008406
7 0.008409
7 0.008409
7 0.008410
7 0.008411
7 0.008412
8 0.008413
8 0.008413
9 0.008414
7 0.008464
7 0.008464
7 0.008465
7 0.008465
7 0.008465
6 0.008472
6 0.008472
6 0.008472
6 0.008473
8 0.008484
8 0.008492
8 0.008506
7 0.008508
6 0.008515
8 0.008515
8 0.008525
8 0.008525
8 0.008525
8 0.008525
7 0.008534
7 0.008541
8 0.008553
8 0.008554
8 0.008554
6 0.008558
6 0.008558
8 0.008560
8 0.008560
6 0.008562
8 0.008574
8 0.008575
7 0.008603
7 0.008603
7 0.008603
8 0.008623
8 0.008636
8 0.008638
7 0.008647
7 0.008652
7 0.008680
6 0.008682
6 0.008683
6 0.008683
8 0.008685
8 0.008685
7 0.008686
7 0.008690
8 0.008702
7 0.008713
7 0.008717
7 0.008717
10 0.008734
10 0.008734
6 0.008740
6 0.008740
7 0.008772
7 0.008777
7 0.008789
7 0.008868
12 0.008875
12 0.008876
6 0.008883
6 0.008883
6 0.008883
6 0.008890
12 0.008892
12 0.008892
6 0.008895
6 0.008895
6 0.008895
12 0.008897
6 0.008902
6 0.008902
8 0.008903
11 0.008904
8 0.008904
8 0.008911
8 0.008911
8 0.008926
8 0.008927
8 0.008936
7 0.008941
7 0.008942
7 0.008944
7 0.008945
7 0.008945
7 0.008947
7 0.008948
6 0.008964
6 0.008965
8 0.008976
8 0.008977
8 0.008977
7 0.008990
10 0.009021
10 0.009021
11 0.009033
7 0.009037
7 0.009071
7 0.009081
7 0.009081
7 0.009088
7 0.009089
7 0.009090
6 0.009090
6 0.009090
6 0.009090
6 0.009098
9 0.009109
6 0.009139
9 0.009140
6 0.009143
7 0.009145
7 0.009147
7 0.009149
7 0.009157
7 0.009158
6 0.009200
6 0.009203
8 0.009212
8 0.009218
8 0.009219
8 0.009224
10 0.009224
10 0.009224
7 0.009226
10 0.009228
6 0.009228
8 0.009232
8 0.009233
8 0.009233
5 0.009243
5 0.009243
5 0.009258
5 0.009258
5 0.009265
7 0.009290
7 0.009293
7 0.009294
7 0.009296
7 0.009296
7 0.009296
6 0.009296
5 0.009310
6 0.009311
6 0.009318
6 0.009350
6 0.009350
6 0.009350
6 0.009350
8 0.009390
7 0.009404
8 0.009406
8 0.009407
6 0.009411
6 0.009416
7 0.009417
7 0.009425
8 0.009428
7 0.009435
7 0.009451
10 0.009472
10 0.009472
8 0.009485
8 0.009496
7 0.009503
7 0.009504
7 0.009509
7 0.009514
7 0.009514
7 0.009514
7 0.009523
7 0.009523
7 0.009526
7 0.009538
6 0.009538
6 0.009542
7 0.009542
10 0.009545
10 0.009545
10 0.009548
6 0.009548
7 0.009548
5 0.009555
7 0.009556
6 0.009556
6 0.009564
7 0.009564
6 0.009567
6 0.009568
5 0.009580
5 0.009580
5 0.009580
5 0.009590
5 0.009592
5 0.009596
5 0.009596
5 0.009603
5 0.009606
6 0.009606
6 0.009607
5 0.009608
6 0.009608
6 0.009609
6 0.009615
5 0.009615
6 0.009616
6 0.009624
6 0.009624
6 0.009624
6 0.009626
6 0.009626
6 0.009630
6 0.009631
6 0.009639
6 0.009639
6 0.009639
6 0.009639
6 0.009647
6 0.009647
6 0.009667
6 0.009670
8 0.009673
8 0.009673
6 0.009680
6 0.009682
8 0.009684
6 0.009686
6 0.009688
6 0.009690
8 0.009690
8 0.009692
8 0.009692
6 0.009694
6 0.009694
6 0.009697
6 0.009697
8 0.009702
6 0.009725
6 0.009725
6 0.009728
5 0.009739
5 0.009739
5 0.009739
5 0.009744
8 0.009747
8 0.009748
8 0.009753
8 0.009755
5 0.009756
5 0.009756
5 0.009763
8 0.009767
7 0.009803
5 0.009823
5 0.009827
5 0.009840
5 0.009844
5 0.009848
6 0.009850
6 0.009850
6 0.009851
6 0.009851
5 0.009863
5 0.009863
5 0.009863
10 0.009871
5 0.009880
5 0.009880
10 0.009884
10 0.009884
5 0.009887
6 0.009898
7 0.009898
6 0.009899
7 0.009902
6 0.009903
6 0.009904
5 0.009907
7 0.009926
6 0.009928
6 0.009928
6 0.009933
